Name,Page,Rating,NOR
The Warded Man,416,4.25,118225
The Diamond Age,499,4.16,87387
The Catcher in the Rye,277,3.81,3234584
Lolita,331,3.88,774191
The Scarlet Letter,279,3.43,808881
Dracula,488,4.01,1141250
Fahrenheit 451,194,3.97,2136489
A Thousand Splendid Suns,372,4.41,1388139
Slaughter-House Five,192,4.43,6741
Storm Front,355,3.98,331271
Inferno,463,3.87,523302
The Woman in the Window,455,3.96,683442
The Hitchhiker's Guide to the Galaxy,193,4.23,1700734
Brave New World,268,3.99,1698525
The Stranger,159,4.01,914529
Meditations,254,4.26,188237
Foundation,244,4.17,493791
The Art of War,273,3.97,427381
Animal Farm,141,3.98,3452369
Man's Search for Meaning,165,4.37,592652
Sapiens,512,4.38,850626
The Metamorphosis,201,3.84,870524
The Plague,308,4.02,228005
The Player of Games,293,4.28,67171
The Brothers Karamazov,796,4.35,291594
Dune,658,4.25,1154749
Frankenstein,260,3.85,1420869
